URL,Version,Status,OIDs,Name,Title,Description,Used
http://hl7.org/fhir/device-nametype,4.0.1,draft,"2.16.840.1.113883.4.642.4.1084",DeviceNameType,DeviceNameType,"The type of name the device is referred by.","ValueSet/NameType"
http://smart.who.int/pcmt/CodeSystem/AttributeType,0.2.0,draft,,AttributeType,Attribute type of Products,"Attribute type of Products","ValueSet/AttributeType"
http://smart.who.int/pcmt/CodeSystem/ProductRelationship,0.2.0,draft,,ProductRelationship,Product Relationship,"ProductRelationship Code System","ValueSet/ProductRelationship"
http://smart.who.int/pcmt/CodeSystem/Status,0.2.0,draft,,Status,Product and regulatory authorization status,"Product and regulatory authorization status","ValueSet/Status"
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,3.0.0,active,"2.16.840.1.113883.5.85",OrderableDrugForm,Orderable Drug Form,"*OpenIssue:* Missing description.","ValueSet/v3-DispensableDrugForm"
