"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"RegulatedTradeItem","RegulatedTradeItem","","","",0,*,"","","","null {[]} {[]}
","Regulated Trade Item","A record of authorization or compliance for one or more Products with a set of regulatory, policy, (pre-)qualification, or legal requirements.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"RegulatedTradeItem.identifier","RegulatedTradeItem.identifier","","","",0,1,"","","","Identifier {[]} {[]}
","The identifier(s) of the authorised Products","The identifier(s) of the authorised Products","","","","","","","","","",,,,,"",,,,"RegulatedTradeItem.identifier",0,1,"",""
"RegulatedTradeItem.status","RegulatedTradeItem.status","","","",1,1,"","","","code {[]} {[]}
","Product status","The marketing / authorisation status of the authorisation e.g. 'active' 'inactive'","","","","","","","","","",,"extensible","","http://smart.who.int/pcmt/ValueSet/Status","",,,,"RegulatedTradeItem.status",1,1,"",""
"RegulatedTradeItem.jurisdiction","RegulatedTradeItem.jurisdiction","","","",1,*,"","","","CodeableConcept {[]} {[]}
","The jurisidiction(s) (e.g. country, economic commuinity or region) where the authorisation is issued","The jurisidiction(s) (e.g. country, economic commuinity or region) where the authorisation is issued","","","","","","","","","",,,,,"",,,,"RegulatedTradeItem.jurisdiction",1,*,"",""
"RegulatedTradeItem.authorisationHolder","RegulatedTradeItem.authorisationHolder","","","",1,1,"","","","Reference {[]} {[CanonicalType[https://profiles.ihe.net/ITI/mCSD/StructureDefinition/IHE.mCSD.Organization]]}
","The organisation responsible for the product i.e. the grantee of the authorisation","The organisation responsible for the product i.e. the grantee of the authorisation","","","","","","","","","",,,,,"",,,,"RegulatedTradeItem.authorisationHolder",1,1,"",""
"RegulatedTradeItem.validityPeriod","RegulatedTradeItem.validityPeriod","","","",0,1,"","","","Period {[]} {[]}
","Validity Period of this authorization","Validity Period of this authorization","","","","","","","","","",,,,,"",,,,"RegulatedTradeItem.validityPeriod",0,1,"",""
"RegulatedTradeItem.authorisedTradeItem","RegulatedTradeItem.authorisedTradeItem","","","",1,1,"","","","Reference {[]} {[CanonicalType[http://smart.who.int/pcmt/StructureDefinition/TradeItem]]}
","Products that are covered under this authorization","Products that are covered under this authorization","","","","","","","","","",,,,,"",,,,"RegulatedTradeItem.authorisedTradeItem",1,1,"",""
"RegulatedTradeItem.attribute","RegulatedTradeItem.attribute","","","",0,*,"","","","BackboneElement {[]} {[]}
","Attributes or characterisitics of the product","Attributes or characterisitics of the product","","","","","","","","","",,,,,"",,,,"RegulatedTradeItem.attribute",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"RegulatedTradeItem.attribute.id","RegulatedTradeItem.attribute.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"RegulatedTradeItem.attribute.extension","RegulatedTradeItem.attribute.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"RegulatedTradeItem.attribute.modifierExtension","RegulatedTradeItem.attribute.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"RegulatedTradeItem.attribute.type","RegulatedTradeItem.attribute.type","","","",1,1,"","","","CodeableConcept {[]} {[]}
","The attribute type (e.g. a physcial dimension)","The attribute type (e.g. a physcial dimension)","","","","","","","","","",,"extensible","","http://smart.who.int/pcmt/ValueSet/AttributeType","",,,,"RegulatedTradeItem.attribute.type",1,1,"",""
"RegulatedTradeItem.attribute.value[x]","RegulatedTradeItem.attribute.value[x]","","","",1,1,"","","","string {[]} {[]}
integer {[]} {[]}decimal {[]} {[]}boolean {[]} {[]}url {[]} {[]}dateTime {[]} {[]}Range {[]} {[]}Ratio {[]} {[]}Annotation {[]} {[]}Address {[]} {[]}Duration {[]} {[]}CodeableConcept {[]} {[]}","The value of the attribute","The value of the attribute","","","","","","","","","",,,,,"",,,,"RegulatedTradeItem.attribute.value[x]",1,1,"",""
"RegulatedTradeItem.associatedProduct","RegulatedTradeItem.associatedProduct","","","",0,*,"","","","BackboneElement {[]} {[]}
","Association(s) between a product and referenced products. Such relationships could be for packaging, representing duplicates/semantic equivalencies between Products, etc","Association(s) between a product and referenced products. Such relationships could be for packaging, representing duplicates/semantic equivalencies between Products, etc","","","","","","","","","",,,,,"",,,,"RegulatedTradeItem.associatedProduct",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"RegulatedTradeItem.associatedProduct.id","RegulatedTradeItem.associatedProduct.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"RegulatedTradeItem.associatedProduct.extension","RegulatedTradeItem.associatedProduct.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"RegulatedTradeItem.associatedProduct.modifierExtension","RegulatedTradeItem.associatedProduct.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"RegulatedTradeItem.associatedProduct.product","RegulatedTradeItem.associatedProduct.product","","","",1,1,"","","","Reference {[]} {[]}
","The generic product characteristics","The generic product characteristics","","","","","","","","","",,,,,"",,,,"RegulatedTradeItem.associatedProduct.product",1,1,"",""
"RegulatedTradeItem.associatedProduct.relationship","RegulatedTradeItem.associatedProduct.relationship","","","",1,*,"","","","Coding {[]} {[]}
","Relationship","The relationship of the the product to the refereneced product","","","","","","","","","",,"extensible","","http://smart.who.int/pcmt/ValueSet/ProductRelationship","",,,,"RegulatedTradeItem.associatedProduct.relationship",1,*,"",""
"RegulatedTradeItem.associatedProduct.quantity","RegulatedTradeItem.associatedProduct.quantity","","","",1,1,"","","","Quantity {[]} {[]}
","how many units of use of the generic product are in the product","how many units of use of the generic product are in the product","","","","","","","","","",,,,,"",,,,"RegulatedTradeItem.associatedProduct.quantity",1,1,"",""
